Job_position,Company,Location,requirements,posting_frequency,min_sal,max_sal,avg_yearly_sal,monthly_sal,job_title,jr,na,senior,State,job_openings,job_descr_len,redux,net,js,server,css,sql,angular,java,stack,testing,javascript,python,c++,ai,rest,app,react,nodejs,php,ui,database,mvc,ux,unity,html,mobile,mysql,flutter,graphic,apis,cloud,debugging,food,architecture,b2b,healthcare,security,pwas,version,typescript,ios,game,mongo,oops,restful,financial,jquery,iot,bootstrap,freelance,word,aws,git,ruby
na,Foodie Technologies Inc,"Bengaluru, Karnataka",na,1.0,140000.0,275000.0,207500.0,17291.666666666668,na,0,1,0,Karnataka,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,Liberin Technologies,"Delhi, Delhi",stack,1.0,500000.0,1300000.0,900000.0,75000.0,senior,0,0,1,Delhi,1,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Crowe,"Noida, Uttar Pradesh",financial,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Uttar Pradesh,1,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
na,CodeRope,"Lucknow, Uttar Pradesh",na,1.0,180000.0,180000.0,180000.0,15000.0,na,0,1,0,Uttar Pradesh,1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,UST Global,"Thiruvananthapuram, Kerala",na,1.0,0.0,0.0,0.0,0.0,jr,1,0,0,Kerala,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,Fujitsu,"Pune, Maharashtra",java java mvc,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Maharashtra,3,161,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Krenai Services Pvt. Ltd.,"Gurgaon, Haryana",java,1.0,180000.0,240000.0,210000.0,17500.0,na,0,1,0,Haryana,1,157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Online Front,"Delhi, Delhi",na,1.0,120000.0,360000.0,240000.0,20000.0,na,0,1,0,Delhi,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Bizfilla Venture,"Patper Ganj, Delhi",na,1.0,84000.0,240000.0,162000.0,13500.0,na,0,1,0,Delhi,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Capgemini,"Bengaluru, Karnataka",linux unix shell,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Karnataka,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
